Bridgeport,Connecitcut,1220000,1168000,1140000,900000,875000,990000,1607500,885445,1215000,927500,1175000,1203000,1045000,850000,949450,960000,1050000,977500,1400000,1265000,1495000,1257250,717500,1228000,1350000,1450000,1605000,1205000,1486000,1393200,995000,1260000,955000,1165000,818750,1080000,1140000,947500,917000,1127500,1275000,1075000,1275000,1075500,955000,915000,850000,1362500,922500,1117500,1012500,1110000,1150000,1225907,1150000,1210000,962500,1177500,1300000,1266200,1517500,950000,1050000,1100000,1120000,1376500,1250250,1127351,1150000,1112500,987500,435000,335000,347250,342750,365000,417000,430000,415000,413000,361500,387250,345000,370000,351250,350000,337750,360000,386500,409950,399900,395000,375000,350000,360000,365000,375220,344800,344750,410000,416000,450000,410000,415000,402250,365000,357000,400000,370000,395000,365000,385000,391150,440000,449500,426000,377500,350000,375000,378500,0
Jackson,Wyoming,0,723900,722600,721300,718600,714600,710200,705600,701500,697500,694300,688700,684900,686300,685600,679400,675900,676100,676400,677000,677100,676200,673700,671700,669900,666700,662400,660500,660300,660500,659800,658800,657900,657400,657600,658800,659500,659800,661000,662900,664100,664600,665200,666400,668300,669400,670800,671500,671000,670600,672900,674300,672300,669900,671200,674500,676900,679200,680400,680600,681400,683900,686800,690100,692400,691300,689600,689900,691600,694200,697200,699700,702800,704300,704900,708800,715100,720000,724000,724900,723600,722200,722700,725800,729800,731700,733700,735900,737500,739600,739800,735900,731600,729700,728200,727700,729100,730800,731400,731800,730000,727200,726700,728400,729500,731900,739600,750700,760700,770600,778200,784600,794000,807300,817300,829800,846100,863400,875200,879500,877600
San Francisco,California,560000,600000,583000,620000,652000,675000,660000,637500,650000,670750,670000,675000,636000,615000,700000,685000,671000,715000,688700,689000,640000,660000,689000,649000,582000,565000,635000,639000,699000,685000,658000,649500,610000,629000,630000,585000,565000,605000,637000,695000,682000,725000,716000,705000,720000,751000,760000,750000,710000,769500,840000,845000,875000,850000,841000,850000,831544,868000,835000,835000,886000,916000,960000,935000,970000,995000,950000,926000,925000,988000,1000000,950000,930050,1077750,1100000,1150000,1200000,1150000,1135000,1150000,1100000,1140289,1150000,1080000,1050000,1110000,1110000,1238000,1208500,1200000,1200000,1135000,1130000,1238000,1136000,1150000,1050000,1245000,1200000,1270000,1300000,1291500,1285500,1238000,1245000,1297500,1350050,1320000,1300000,1390000,1414000,1425000,1446250,1406500,1400000,1388444,1425000,1400000,1338000,1350000,0
San Jose,California,405000,420000,397000,420000,437500,472000,500000,485000,470000,490000,500000,488500,461000,475000,510000,514750,531500,525000,550000,520000,500500,520000,495000,476500,446500,435000,472500,495000,490000,520000,515000,499500,465000,455500,468000,445750,422500,444000,482000,522500,535000,576000,581000,576000,565000,570000,582000,588500,567750,598000,630000,690000,705000,700000,705000,680000,675000,670000,679000,655000,650000,685000,730000,751000,750250,770000,740000,750000,727121,750000,740000,723000,696500,750000,810000,826000,851000,868500,860000,850000,820000,830000,840000,820000,770000,825000,860000,915000,930000,900000,904000,860000,863500,880000,875000,840000,820000,880500,955500,957000,979500,1000000,975000,975000,1000000,1036000,1075000,1100000,995000,1173000,1280000,1210000,1250000,1225000,1160000,1188000,1100000,1150000,1080000,1020000,0
Honolulu,Hawaii,400000,410000,410000,382500,412250,425000,410000,401000,425000,415000,400000,411400,405000,399000,399000,415000,425000,419000,445000,440000,465000,437500,415000,430000,415000,418950,410000,389500,412500,395579,406000,400000,404500,430000,421500,405000,386500,425000,403000,415000,401000,423500,420000,435000,450000,440000,450000,438500,425250,442000,419450,445000,415000,470000,443500,500000,460000,440000,440000,450000,490000,462250,481323,448250,485000,500000,468000,476000,500000,415000,475000,490000,534261,471750,500000,483500,485000,480000,480000,525000,515000,505000,509996,520000,519500,525000,515000,527000,520000,545000,550000,535000,533500,558250,611000,545700,566500,525000,517500,530000,538500,575000,575000,570000,590000,625000,595000,590000,565000,555000,555000,549000,595000,579000,590000,589000,575000,575000,575000,537000,0
Washington,District of Columbia,0,365100,363000,360500,357800,355600,354300,353400,352900,352600,352600,353200,354000,354400,354500,354900,355200,354600,353700,353200,353400,354000,355100,356100,356400,355200,353700,353000,353400,354000,353400,352000,351300,351600,351800,352200,353600,356100,359100,361700,363700,366000,369400,373000,376700,379900,382700,384700,386600,388700,391900,396700,402300,406400,410700,416000,420200,422700,425500,428400,430900,433800,437200,439800,441600,443500,445200,446600,447700,449000,450200,452100,454500,458000,460900,463100,465500,469000,471800,474000,476600,479100,480700,482000,482700,483700,486600,491700,497100,502000,505900,508600,510400,514100,520600,528000,532600,534800,535900,537600,539000,541000,544000,547000,548300,548400,548300,548400,551800,558100,562800,563100,563800,566100,568200,569100,571500,575600,579400,581000,581200
Boston,Massachusetts,270000,269900,269000,287100,302000,334000,333000,335000,318007,300000,306250,320000,317500,289000,305000,312000,321770,360000,360000,355000,323000,319900,330000,315000,306000,289000,299900,315000,330000,360000,355000,349000,329000,302500,319000,311250,300000,289800,305000,320000,339500,374148,363000,355000,336000,322500,335000,343250,322500,317500,325000,349900,364000,390000,386550,387500,369900,360000,362000,371000,366000,339000,360000,365000,385000,411000,405000,399567,377250,370000,380000,387750,385000,370000,372000,385000,405000,425000,425000,420250,395000,390000,400000,400000,395000,376000,390000,415000,425950,447000,449000,438000,419900,415000,425420,419900,424500,403000,434000,447500,455000,475500,475000,465000,449000,447000,450000,455000,450000,437200,461450,480000,495000,515000,515000,500000,465000,465500,470000,450500,0
Los Angeles,California,300000,295000,298000,295000,299250,315000,320000,325000,330000,325000,325000,339000,320000,315000,326000,330000,348750,335000,339000,335000,340000,323000,325000,330000,300250,312500,320000,321378,316000,320000,323000,315000,315000,300000,310000,305000,290000,300000,309000,315000,318000,328000,335000,335000,347000,345000,350000,353000,345000,353000,387000,400000,415000,433000,430000,440000,435000,434000,430000,437000,423000,435000,450000,455000,465000,465000,470000,475000,470000,472250,465000,465000,460000,470000,478750,490000,491500,504000,504000,510000,499000,495000,500000,508000,500000,501500,518091,530000,540000,545000,540750,545000,535000,540000,540500,535000,540000,540000,555000,560000,578000,587000,590000,590000,590000,575000,589000,585000,575000,595000,600000,610000,630000,635000,625000,627000,615000,615000,620000,599000,0
Seattle,Washington,338725,325000,329995,326950,333000,340000,330000,325000,326000,320000,310000,325000,316695,315561,317438,315000,319900,319950,342750,325000,317400,315000,310000,308750,284782,290000,290000,289000,279500,287500,284950,282500,275000,257250,270000,265000,251675,260000,274950,289950,299000,310000,308175,312000,314700,308000,319950,310000,290000,310000,324950,329000,349000,349990,362500,355000,352000,350000,345500,349925,329820,347250,345000,355000,365000,385000,379900,371000,379950,370000,372000,369000,360000,360000,385000,400000,398000,415000,410000,414000,399950,405000,404395,401000,406840,403850,425000,430000,440000,465000,450000,450000,449950,442285,455000,460175,443000,459950,484925,505000,510000,525000,529169,520000,510000,511667,525000,529863,515000,530000,559950,579950,586000,582016,575000,550000,545000,550000,545000,538000,0
Anchorage,Alaska,0,301500,302500,303600,304500,305300,305700,306000,306200,306300,306400,306300,306300,306300,306200,306000,306200,306900,307500,307200,306700,306500,306400,306400,306700,306900,306900,306800,306800,306800,306400,306200,306500,306900,306800,306900,306600,306100,305700,305300,305200,305700,306700,308100,309100,310000,311200,312400,313500,314700,315800,317300,318600,319400,319800,320200,320600,321200,321700,322200,323000,324200,325700,326300,325400,324400,324300,324900,325600,326400,326800,327600,328900,329900,330700,331700,333000,333900,334600,335300,336400,337000,337200,337500,338200,338800,339000,339300,339900,340700,341300,341300,340700,339600,338500,338200,338300,338200,337900,337800,337500,337100,336700,336300,336300,337100,337800,338700,339300,338700,337300,336700,337400,339100,340100,340500,339700,338700,339200,337600,333500
